name,hospital,city,notes
王玉凤 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
钱秋谨 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
孙黎 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
王⼒芳 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
曹庆久 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
顾伯美 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
赵梦婕 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
司飞飞 医生,"
北京大学第六医院 ：
",北京,"可确诊ASD与ADHD）
"
吴元贞 医生,"
北京安定医院 ：
",北京,"可确诊ADHD）
"
陈旭 医生,"
北京安定医院 ：
",北京,"可确诊ASD与ADHD）
"
何凡 医生,"
北京安定医院 ：
",北京,"可确诊ASD与ADHD）
"
周玉明 医生,"
北京安定医院 ：
",北京,"可确诊ASD与ADHD）
"
梁月竹 医生,"
北京安定医院 ：
",北京,"可确诊ADHD）
"
黄环环 医生,"
北京安定医院 ：
",北京,"可确诊ADHD）
"
李斌彬 医生,"
北京回龙观医院 ：
",北京,"可确诊ASD与ADHD）
"
曲珊 医生,"
北京人民医院 ：
",北京,"可确诊ADHD）
"
吴秋霞 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",北京,"可确诊ASD与ADHD）
"
程道猛 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",北京,"可确诊ADHD）
"
李苏义 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",北京,"可确诊ADHD）
"
叶碧瑜 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",北京,"可确诊ADHD）
"
王中磊 医生,"
深圳市康宁医院 ：
",北京,"可确诊ASD与ADHD）
"
石顺治 医生,"
深圳市康宁医院 ：
",北京,"可确诊ADHD）
"
李颖源 医生,"
深圳市康宁医院 ：
",北京,"可确诊ASD与ADHD）
"
齐云柯 医生,"
深圳市康宁医院 ：
",北京,"可确诊ADHD）
"
杨志伟 医生,"
深圳市康宁医院 ：
",北京,"可确诊ASD）
"
王冰 医生,"
深圳市康宁医院 ：
",北京,"可确诊ADHD）
"
齐玉 医生,"
深圳市康宁医院 ：
",北京,"可确诊ADHD）
"
杨帆 医生,"
广东省人民医院 ：
",北京,"可确诊ADHD）
"
戚元丽 医生,"
广东省人民医院 ：
",北京,"可确诊ADHD）
"
贾滟滨 医生,"
广州暨南大学附属第一医院精神心理科 ：
",北京,"可确诊ADHD）
"
查彩慧 医生,"
广州妇幼保健院（广州市妇女儿童医疗中心） ：
",北京,"可确诊ADHD）
"
李雷俊 医生,"
中山大学附属第三医院 ：
",北京,"可确诊ASD与ADHD）
"
刘军 医生,"
广州医学院第二附属医院心理科 ：
",北京,"可确诊ADHD）
"
苏程 医生,"
广州医学院第二附属医院心理科 ：
",北京,"可确诊ADHD）
"
李艾 医生,"
汕头大学精神卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
黄燕虹 医生,"
汕头大学精神卫生中心 ：
",北京,"可确诊ADHD）
"
冯婉霞 医生,"
佛山顺德大良伍仲佩纪念医院 ：
",北京,"可确诊ASD与ADHD）
"
许律琴 医生,"
江门市妇幼保健院 ：
",北京,"可确诊ADHD）
"
张艳红 医生,"
中山市博爱医院（妇幼保健院） ：
",北京,"可确诊ADHD）
"
何淑华 医生,"
中山市博爱医院（妇幼保健院） ：
",北京,"可确诊ADHD）
"
庄志成 医生,"
珠海市妇幼保健院 ：
",北京,"可确诊ASD与ADHD）
"
陈强 医生,"
珠海市妇幼保健院 ：
",北京,"可确诊ADHD）
"
张国荣 医生,"
何贤纪念医院（广东省广州市番禺区） ：
",北京,"可确诊ADHD）
"
梁烨 医生,"
广东医科大学顺德妇女儿童医院（佛山市顺德区妇幼保健院） ：
",北京,"可确诊ADHD）
"
祝勇敢 医生,"
江门市第四人民医院 ：
",北京,"可确诊ADHD）
"
张劲松 医生,"
上海新华医院 ：
",北京,"可确诊ASD与ADHD）
"
夏卫萍 医生,"
上海新华医院 ：
",北京,"可确诊ADHD）
"
王兰兰 医生,"
上海市第一人民医院松江南院 ：
",北京,"可确诊ADHD）
"
王兰兰 医生,"
上海第一人民医院虹口院区 ：
",北京,"可确诊ADHD）
"
刘飞 医生,"
上海同济大学附属医院 - ADHD门诊 ：
",北京,"可确诊ADHD）
"
曹亚宁 医生,"
上海市宝山区精神卫生中心 ：
",北京,"可确诊ADHD）
"
王敏建 医生,"
重庆市精神卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
冉曼利 医生,"
重庆市精神卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
张骁 医生,"
重庆市精神卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
王霞 医生,"
河北省儿童医院心理行为科 ：
",北京,"可确诊ADHD）
"
李素水 医生,"
石家庄市第八医院精八科 ：
",北京,"可确诊ADHD）
"
曹旭影 医生,"
河北医科大学第一医院 ：
",北京,"可确诊ADHD）
"
王岚 医生,"
河北医科大学第一医院 ：
",北京,"可确诊ADHD）
"
张欣 医生,"
河北省第六人民医院 ：
",北京,"可确诊ADHD）
"
姚梅玲 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",北京,"可确诊ASD）
"
段桂琴 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",北京,"可确诊ADHD）
"
宋春兰 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",北京,"可确诊ADHD）
"
卢瑾 医生,"
昆明医学院附属第一医院(云大医院) ：
",北京,"可确诊ASD与ADHD）
"
杨润许 医生,"
昆明医学院附属第一医院(云大医院) ：
",北京,"可确诊ADHD）
"
戴南 医生,"
昆明医学院附属第一医院(云大医院) ：
",北京,"可确诊ADHD）
"
姜爽 医生,"
辽宁省肿瘤医院 ：
",北京,"可确诊ASD与ADHD）
"
彭淼 医生,"
中国医科大学沈阳盛京医院（滑翔院区） ：
",北京,"可确诊ASD与ADHD）
"
高倩 医生,"
中国医科大学沈阳盛京医院（滑翔院区） ：
",北京,"可确诊ADHD）
"
巴宇辰 医生,"
中国医科大学附属鞍山医院 ：
",北京,"可确诊ADHD）
"
李奕 医生,"
大连市第七人民医院 ：
",北京,"可确诊ADHD）
"
崔夕龙 医生,"
中南大学湘雅二医院 ：
",北京,"可确诊ADHD）
"
⻩春香 医生,"
中南大学湘雅二医院 ：
",北京,"可确诊ADHD）
"
苏林雁 医生,"
中南大学湘雅二医院 ：
",北京,"可确诊ADHD）
"
欧建君 医生,"
中南大学湘雅二医院 ：
",北京,"可确诊ASD与ADHD）
"
贺莹 医生,"
中南大学湘雅二医院 ：
",北京,"可确诊ADHD）
"
殷爱华 医生,"
山东省精神卫生中心 ：
",北京,"可确诊ADHD）
"
徐德峰 医生,"
山东省精神卫生中心 ：
",北京,"可确诊ADHD）
"
焦志安 医生,"
山东省立医院 ：
",北京,"可确诊ADHD）
"
刘传新 医生,"
山东省济宁医学院附属医院 ：
",北京,"可确诊ADHD）
"
"
医生
","
青岛精神卫生中心（青岛市第七人民医院） ：
",北京,
王俊 医生,"
青岛市立医院 ：
",北京,"可确诊ADHD）
"
秦俊峰 医生,"
青岛市立医院 ：
",北京,"可确诊ADHD）
"
王克 医生,"
青岛市立医院 ：
",北京,"可确诊ADHD）
"
王冠军 医生,"
青岛市立医院 ：
",北京,"可确诊ADHD）
"
万好 医生,"
青岛市立医院 ：
",北京,"可确诊ADHD）
"
冀永娟 医生,"
青岛妇女儿童医院 ：
",北京,"可确诊ADHD）
"
赵约翰 医生,"
山东潍坊市人民医院 ：
",北京,"可确诊ADHD）
"
孙榕蔚 医生,"
威海市立医院 ：
",北京,"可确诊ADHD）
"
肖立群 医生,"
山东泰安解放军八十八医院 ：
",北京,"可确诊ADHD）
"
焦公凯 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
张会会 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ADHD）
"
鲍晨曦 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ADHD）
"
柯晓燕 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ADHD）
"
梁金凤 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ADHD）
"
殷璐 医生,"
南京脑科儿童心理卫生中心 ：
",北京,"可确诊ASD与ADHD）
"
卜茹 医生,"
扬州五台山医院 ：
",北京,"可确诊ADHD）
"
王万章 医生,"
扬州五台山医院 ：
",北京,"可确诊ADHD）
"
高婷叶 医生,"
常州市德安医院 ：
",北京,"可确诊ADHD）
"
付广慧 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",北京,"可确诊ADHD）
"
胡少华 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",北京,"可确诊ADHD）
"
陆绍佳 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",北京,"可确诊ADHD）
"
刘艳 医生,"
杭州市第七人民医院 ：
",北京,"可确诊ADHD）
"
程芳 医生,"
宁波市康宁医院 ：
",北京,"可确诊ASD）
"
覃艳华 医生,"
浙江大学邵逸夫医院 ：
",北京,"可确诊ADHD）
"
刘畅 医生,"
浙江金华妇幼保健院 ：
",北京,"可确诊ADHD）
"
于学力 医生,"
温州医科大学附属康宁医院 ：
",北京,"可确诊ADHD）
"
叶敏捷 医生,"
温州医科大学附属康宁医院 ：
",北京,"可确诊ADHD）
"
祝勇敢 医生,"
江山市第四人民医院 ：
",北京,"可确诊ADHD）
"
